Age,Gender,Disability,MaritalStatus,Caste,Aadhaar,Mobile,District,Scheme
69,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
68,Male,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
60,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
88,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
82,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
68,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
85,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
74,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
70,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
73,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
85,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
81,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
70,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
79,Male,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
77,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
64,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
81,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
70,Male,0,Widowed,GEN,1,0,ANANTNAG,IGNOAPS
65,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
84,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Married,GEN,1,0,ANANTNAG,IGNOAPS
85,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
77,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
73,Female,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
75,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
69,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
84,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
88,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
86,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
84,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
72,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
74,Male,0,Single,OBC,1,1,ANANTNAG,IGNOAPS
90,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
73,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
81,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
84,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
84,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
67,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
83,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
63,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
82,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
88,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
61,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
82,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNOAPS
84,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
79,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
71,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
64,Female,0,Married,GEN,1,0,ANANTNAG,IGNOAPS
80,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
73,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
77,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
86,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
73,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
88,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
65,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
86,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
67,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
67,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
67,Female,0,Married,GEN,1,0,ANANTNAG,IGNOAPS
80,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
75,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
62,Male,0,Married,GEN,1,0,ANANTNAG,IGNOAPS
77,Female,0,Widowed,ST,1,1,ANANTNAG,IGNOAPS
73,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
80,Female,0,Single,ST,1,1,ANANTNAG,IGNOAPS
78,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
88,Male,0,Widowed,GEN,1,0,ANANTNAG,IGNOAPS
83,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
76,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
88,Female,0,Married,GEN,1,0,ANANTNAG,IGNOAPS
73,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
87,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
89,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
83,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
86,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
74,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
65,Female,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
64,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
66,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
62,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
83,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
78,Male,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
67,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
80,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
88,Male,0,Single,GEN,1,0,ANANTNAG,IGNOAPS
77,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
61,Female,0,Single,GEN,1,1,ANANTNAG,IGNOAPS
78,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
61,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
66,Male,0,Widowed,GEN,1,1,ANANTNAG,IGNOAPS
85,Male,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
84,Female,0,Married,GEN,1,1,ANANTNAG,IGNOAPS
75,Female,0,Married,ST,1,1,ANANTNAG,IGNOAPS
65,Female,0,Single,ST,1,1,ANANTNAG,IGNOAPS
55,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
61,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
59,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
71,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
58,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
50,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
58,Female,0,Widowed,ST,1,1,ANANTNAG,IGNWPS
60,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
44,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
43,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
70,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
76,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
72,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
63,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
45,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
62,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
79,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
56,Female,0,Widowed,ST,1,1,ANANTNAG,IGNWPS
78,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
64,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
49,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
59,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
58,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
56,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
47,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
59,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
40,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
54,Female,0,Widowed,ST,1,1,ANANTNAG,IGNWPS
67,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
59,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
72,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
80,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
50,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
52,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
80,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
44,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
65,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
51,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
58,Female,0,Widowed,OBC,1,1,ANANTNAG,IGNWPS
63,Female,0,Widowed,OBC,1,0,ANANTNAG,IGNWPS
61,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
78,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
78,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
75,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
41,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
78,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
61,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
58,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
41,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
75,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
46,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
43,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
68,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
79,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
45,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
51,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
53,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
60,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
80,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
76,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
42,Female,0,Widowed,GEN,0,1,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
47,Female,0,Widowed,ST,1,1,ANANTNAG,IGNWPS
43,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
58,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
67,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
68,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
68,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
50,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
53,Female,0,Widowed,ST,1,1,ANANTNAG,IGNWPS
61,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
66,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
49,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
54,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
52,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
57,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
73,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
63,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
80,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
51,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
41,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
46,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
45,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
74,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
41,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
79,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
44,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
47,Female,0,Widowed,GEN,1,0,ANANTNAG,IGNWPS
77,Female,0,Widowed,GEN,1,1,ANANTNAG,IGNWPS
47,Female,0,Widowed,GEN,0,1,ANANTNAG,IGNWPS
41,Male,1,Single,GEN,1,1,POONCH,IGNDPS
32,Male,1,Single,GEN,1,0,POONCH,IGNDPS
57,Male,1,Married,OBC,1,0,POONCH,IGNDPS
60,Female,1,Married,ST,1,1,POONCH,IGNDPS
55,Male,1,Single,GEN,1,1,POONCH,IGNDPS
41,Female,1,Single,GEN,0,1,POONCH,IGNDPS
45,Female,1,Single,ST,1,0,POONCH,IGNDPS
36,Female,1,Single,GEN,1,0,POONCH,IGNDPS
28,Male,1,Married,GEN,1,1,POONCH,IGNDPS
60,Male,1,Married,ST,0,0,POONCH,IGNDPS
28,Female,1,Single,ST,1,0,POONCH,IGNDPS
54,Male,1,Single,GEN,0,0,POONCH,IGNDPS
49,Male,1,Married,GEN,1,0,POONCH,IGNDPS
58,Male,1,Married,GEN,1,1,POONCH,IGNDPS
31,Female,1,Married,OBC,1,1,POONCH,IGNDPS
56,Male,1,Married,OBC,1,0,POONCH,IGNDPS
20,Male,1,Married,OBC,0,1,POONCH,IGNDPS
47,Female,1,Single,GEN,1,1,POONCH,IGNDPS
59,Male,1,Single,GEN,1,1,POONCH,IGNDPS
28,Female,1,Married,OBC,1,1,POONCH,IGNDPS
44,Male,1,Single,ST,0,1,POONCH,IGNDPS
47,Male,1,Married,OBC,1,0,POONCH,IGNDPS
47,Female,1,Single,GEN,1,1,POONCH,IGNDPS
42,Male,1,Single,OBC,1,0,POONCH,IGNDPS
45,Male,1,Married,OBC,1,1,POONCH,IGNDPS
55,Male,1,Single,GEN,1,1,POONCH,IGNDPS
44,Female,1,Married,ST,1,1,POONCH,IGNDPS
42,Male,1,Married,GEN,1,0,POONCH,IGNDPS
45,Male,1,Married,GEN,0,0,POONCH,IGNDPS
21,Male,1,Single,ST,1,1,POONCH,IGNDPS
28,Female,1,Married,GEN,1,0,POONCH,IGNDPS
46,Male,1,Single,GEN,1,1,POONCH,IGNDPS
46,Male,1,Married,GEN,1,0,POONCH,IGNDPS
43,Male,1,Married,GEN,0,0,POONCH,IGNDPS
24,Female,1,Single,GEN,1,0,POONCH,IGNDPS
44,Male,1,Single,ST,1,0,POONCH,IGNDPS
32,Male,1,Single,ST,1,0,POONCH,IGNDPS
28,Male,1,Single,ST,1,0,POONCH,IGNDPS
34,Male,1,Married,ST,1,1,POONCH,IGNDPS
38,Male,1,Single,GEN,0,0,POONCH,IGNDPS
33,Male,1,Married,ST,1,0,POONCH,IGNDPS
35,Male,1,Single,ST,1,0,POONCH,IGNDPS
48,Male,1,Married,GEN,0,1,POONCH,IGNDPS
19,Female,1,Married,GEN,1,0,POONCH,IGNDPS
30,Male,1,Single,GEN,0,1,POONCH,IGNDPS
23,Male,1,Single,ST,1,0,POONCH,IGNDPS
60,Male,1,Married,GEN,1,0,POONCH,IGNDPS
30,Male,1,Single,ST,0,0,POONCH,IGNDPS
43,Male,1,Single,GEN,1,0,POONCH,IGNDPS
40,Female,1,Single,OBC,1,0,POONCH,IGNDPS
49,Male,1,Married,GEN,1,1,POONCH,IGNDPS
49,Female,1,Single,GEN,0,0,POONCH,IGNDPS
59,Male,1,Single,OBC,1,1,POONCH,IGNDPS
25,Female,1,Married,ST,1,0,POONCH,IGNDPS
56,Male,1,Single,ST,0,0,POONCH,IGNDPS
53,Male,1,Married,ST,0,1,POONCH,IGNDPS
34,Male,1,Married,ST,1,0,POONCH,IGNDPS
39,Female,1,Single,GEN,1,1,POONCH,IGNDPS
32,Male,1,Married,ST,1,0,POONCH,IGNDPS
26,Male,1,Single,GEN,1,1,POONCH,IGNDPS
37,Male,1,Single,ST,1,1,POONCH,IGNDPS
59,Female,1,Married,GEN,0,1,POONCH,IGNDPS
49,Male,1,Married,GEN,1,1,POONCH,IGNDPS
48,Male,1,Married,OBC,0,0,POONCH,IGNDPS
44,Male,1,Single,OBC,1,0,POONCH,IGNDPS
48,Male,1,Married,GEN,1,1,POONCH,IGNDPS
47,Male,1,Married,ST,1,0,POONCH,IGNDPS
32,Male,1,Single,ST,0,1,POONCH,IGNDPS
31,Female,1,Single,ST,1,0,POONCH,IGNDPS
54,Female,1,Single,GEN,0,0,POONCH,IGNDPS
59,Male,1,Married,ST,1,0,POONCH,IGNDPS
28,Female,1,Single,GEN,1,0,POONCH,IGNDPS
27,Male,1,Married,GEN,1,0,POONCH,IGNDPS
25,Male,1,Single,ST,1,1,POONCH,IGNDPS
52,Male,1,Single,GEN,1,0,POONCH,IGNDPS
40,Male,1,Single,ST,1,0,POONCH,IGNDPS
30,Female,1,Married,GEN,1,0,POONCH,IGNDPS
48,Female,1,Single,OBC,1,0,POONCH,IGNDPS
22,Male,1,Married,OBC,1,0,POONCH,IGNDPS
42,Male,1,Single,ST,1,0,POONCH,IGNDPS
50,Male,1,Single,ST,1,0,POONCH,IGNDPS
39,Male,1,Married,ST,1,0,POONCH,IGNDPS
54,Male,1,Single,GEN,1,0,POONCH,IGNDPS
48,Female,1,Married,GEN,1,0,POONCH,IGNDPS
45,Male,1,Married,GEN,1,1,POONCH,IGNDPS
45,Male,1,Single,GEN,0,0,POONCH,IGNDPS
56,Male,1,Married,GEN,1,0,POONCH,IGNDPS
26,Female,1,Married,GEN,0,0,POONCH,IGNDPS
39,Male,1,Married,GEN,1,1,POONCH,IGNDPS
35,Male,1,Married,GEN,1,0,POONCH,IGNDPS
60,Male,1,Single,GEN,1,1,POONCH,IGNDPS
40,Female,1,Single,ST,1,1,POONCH,IGNDPS
42,Male,1,Married,ST,1,1,POONCH,IGNDPS
39,Male,1,Married,GEN,1,1,POONCH,IGNDPS
49,Male,1,Single,GEN,1,0,POONCH,IGNDPS
32,Male,1,Married,GEN,1,0,POONCH,IGNDPS
23,Female,1,Single,GEN,0,0,POONCH,IGNDPS
24,Female,1,Single,GEN,0,0,POONCH,IGNDPS
28,Female,1,Single,GEN,1,0,POONCH,IGNDPS
27,Male,1,Single,ST,1,0,POONCH,IGNDPS
83,Male,0,Widowed,GEN,0,0,POONCH,IGNOAPS
65,Female,0,Married,GEN,0,0,POONCH,IGNOAPS
75,Male,0,Married,GEN,1,1,POONCH,IGNOAPS
82,Male,0,Married,ST,1,1,POONCH,IGNOAPS
71,Male,0,Single,ST,1,0,POONCH,IGNOAPS
76,Male,0,Single,GEN,1,1,POONCH,IGNOAPS
75,Male,0,Married,GEN,0,0,POONCH,IGNOAPS
78,Female,0,Single,GEN,1,1,POONCH,IGNOAPS
82,Female,0,Single,ST,1,0,POONCH,IGNOAPS
77,Male,0,Single,GEN,0,0,POONCH,IGNOAPS
83,Male,0,Single,ST,0,1,POONCH,IGNOAPS
79,Female,0,Single,GEN,1,1,POONCH,IGNOAPS
76,Male,0,Single,GEN,1,1,POONCH,IGNOAPS
71,Female,0,Married,ST,1,0,POONCH,IGNOAPS
68,Female,0,Single,GEN,1,0,POONCH,IGNOAPS
73,Female,0,Single,OBC,1,0,POONCH,IGNOAPS
61,Female,0,Widowed,GEN,0,0,POONCH,IGNOAPS
70,Male,0,Married,GEN,0,0,POONCH,IGNOAPS
90,Male,0,Married,GEN,1,0,POONCH,IGNOAPS
63,Male,0,Married,ST,1,0,POONCH,IGNOAPS
62,Male,0,Married,ST,0,1,POONCH,IGNOAPS
89,Female,0,Married,ST,1,0,POONCH,IGNOAPS
